Date,Name,Year,Letterboxd URI,Rating
2021-07-16,The Raid,2011,https://boxd.it/3hBy,4
2021-07-18,The Raid 2,2014,https://boxd.it/5uz0,4.5
2021-07-19,Space Jam,1996,https://boxd.it/26YO,2
2021-07-19,Tokyo Mater,2008,https://boxd.it/1xS2,3
2021-07-19,Cars,2006,https://boxd.it/29ho,3.5
2021-07-20,Cars 2,2011,https://boxd.it/H4Y,2
2021-07-20,Space Jam: A New Legacy,2021,https://boxd.it/dd9A,1.5
2021-07-20,Cars 3,2017,https://boxd.it/7IPq,3
2021-07-21,The Last Dance,2020,https://boxd.it/pVfc,4
2021-07-22,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2,2.5
2021-07-23,The Twilight Saga: Eclipse,2010,https://boxd.it/1ytW,2
2021-07-23,The Twilight Saga: Breaking Dawn - Part 1,2011,https://boxd.it/DdM,2
2021-07-24,The Twilight Saga: Breaking Dawn - Part 2,2012,https://boxd.it/DdC,2.5
2021-07-24,Underworld: Evolution,2006,https://boxd.it/29v6,2
2021-07-26,"Woodstock 99: Peace, Love, and Rage",2021,https://boxd.it/w1pa,3
2021-07-26,Underworld: Awakening,2012,https://boxd.it/yMs,2
2021-07-28,Safe House,2012,https://boxd.it/hbk,2.5
2021-07-29,AVP: Alien vs. Predator,2004,https://boxd.it/2atU,2.5
2021-07-29,Stargate,1994,https://boxd.it/27iu,3
2021-07-29,Lockout,2012,https://boxd.it/2Ruw,3.5
2021-07-30,Joe Dirt,2001,https://boxd.it/1UZ6,2.5
2021-08-02,Old,2021,https://boxd.it/npKI,3.5
2021-08-04,Assault on Precinct 13,2005,https://boxd.it/1Zsw,3
2021-08-04,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,https://boxd.it/1VQa,3.5
2021-08-04,Blood Red Sky,2021,https://boxd.it/sArW,2.5
2021-08-04,The Cloverfield Paradox,2018,https://boxd.it/doVA,2.5
2021-08-04,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,2
2021-08-06,Escape Room,2019,https://boxd.it/iYlS,3.5
2021-08-08,Ocean's Eleven,1960,https://boxd.it/2aEo,3
2021-08-08,The Suicide Squad,2021,https://boxd.it/fw6O,4
2021-08-09,Streets of Fire,1984,https://boxd.it/1Nt8,4
2021-08-10,Dark Star,1974,https://boxd.it/28Ow,3
2021-08-11,Hulk,2003,https://boxd.it/27PS,3
2021-08-13,Pitch Black,2000,https://boxd.it/26iS,3
2021-08-13,Hellboy,2004,https://boxd.it/28HK,3
2021-08-14,Pet Sematary,2019,https://boxd.it/4W0q,1.5
2021-08-16,Assault on Precinct 13,1976,https://boxd.it/1I2c,4
2021-08-17,The Fog,1980,https://boxd.it/29Cc,3
2021-08-18,Lake Mungo,2008,https://boxd.it/1rWM,4
2021-08-18,The Sky,2020,https://boxd.it/q27O,3
2021-08-22,The Imagineering Story,2019,https://boxd.it/qp3q,3.5
2021-08-22,Terminator: Dark Fate,2019,https://boxd.it/96YI,3
2021-08-22,Love and Monsters,2020,https://boxd.it/lJ6E,3
2021-08-22,Bloodshot,2020,https://boxd.it/bfG8,4
2021-08-23,Evangelion: 1.0 You Are (Not) Alone,2007,https://boxd.it/1MKi,3.5
2021-08-23,Evangelion: 2.0 You Can (Not) Advance,2009,https://boxd.it/1zYm,4
2021-08-24,Halloween,1978,https://boxd.it/2wRu,4
2021-08-24,Evangelion: 3.0 You Can (Not) Redo,2012,https://boxd.it/2BwG,3.5
2021-08-25,High-Rise,2015,https://boxd.it/7tmo,3
2021-08-27,Untold: Malice at the Palace,2021,https://boxd.it/wnUa,3
2021-08-27,Rurouni Kenshin: The Beginning,2021,https://boxd.it/p30s,3
2021-08-28,The Wages of Fear,1953,https://boxd.it/2aSK,4
2021-08-29,Jurassic Park III,2001,https://boxd.it/2azI,2.5
2021-08-30,Out,2020,https://boxd.it/qs3I,3.5
2021-08-31,Mobile Suit Gundam I,1981,https://boxd.it/14bo,3.5
2021-08-31,The Da Vinci Code,2006,https://boxd.it/2a3i,2
2021-09-02,The Sum of All Fears,2002,https://boxd.it/242I,3.5
2021-09-03,Brand New Cherry Flavor,2021,https://boxd.it/wlSQ,3.5
2021-09-03,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,3.5
2021-09-04,Riddick,2013,https://boxd.it/35Jq,3.5
2021-09-07,The Vault,2021,https://boxd.it/nleI,2.5
2021-09-07,Escape from New York,1981,https://boxd.it/294k,3.5
2021-09-08,The Bank Job,2008,https://boxd.it/1ZL4,3
2021-09-09,Evangelion: 3.0+1.0 Thrice Upon a Time,2021,https://boxd.it/8LnQ,4.5
2021-09-09,Slither,2006,https://boxd.it/1Zks,4
2021-09-10,Avengement,2019,https://boxd.it/jsp6,3.5
2021-09-10,Real Steel,2011,https://boxd.it/147m,2.5
2021-09-10,Shin Godzilla,2016,https://boxd.it/a9lm,4
2021-09-12,Speed Racer,2008,https://boxd.it/20UQ,4
2021-09-12,Cinderella,2021,https://boxd.it/lSCY,1
2021-09-13,Hercules,1997,https://boxd.it/1SDW,4
2021-09-13,The Discovery,2017,https://boxd.it/d4gC,3.5
2021-09-13,The Platform,2019,https://boxd.it/mUm6,3
2021-09-14,Malignant,2021,https://boxd.it/mViE,3.5
2021-09-15,Gunpowder Milkshake,2021,https://boxd.it/l5fQ,3
2021-09-16,Schumacher,2021,https://boxd.it/wk2k,4
